# Logger: PatternLogger | Started: Wed Oct 15 19:13:01 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 19:13:07.972,6.562,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191000_Water_Temperature]]
2025-10-15 19:13:07.993,6.583,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191200_Water_Temperature]]
2025-10-15 19:13:08.001,6.591,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191300_Water_Temperature]]
2025-10-15 19:13:08.004,6.594,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191300_Water_Temperature]]
2025-10-15 19:13:08.033,6.623,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-15 19:13:08.035,6.625,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191400_Water_Temperature]]
2025-10-15 19:13:08.038,6.628,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191400_Water_Temperature]]
2025-10-15 19:13:08.096,6.686,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[0.8805],1,1,0.8805,[[MontroseBeach201505191500_Water_Temperature]]
2025-10-15 19:13:08.099,6.689,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
2025-10-15 19:13:08.100,6.690,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191500_Water_Temperature]]
