pattern_name,TP,FP,FN,precision,recall,dataset
63rd_HighTurbidity_85,111,0,0,1.0,1.0,oracle
63rd_HighWave_85,88,0,0,1.0,1.0,oracle
63rd_LocalAlert_85,111,0,0,1.0,1.0,oracle
63rd_WaterTempDrop_85,1696,0,0,1.0,1.0,oracle
CalumetTo63rd_AlertSpread_85,16,0,0,1.0,1.0,oracle
Calumet_HighTurbidity_85,77,0,0,1.0,1.0,oracle
Calumet_HighWave_85,31,0,0,1.0,1.0,oracle
Calumet_LocalAlert_85,77,0,0,1.0,1.0,oracle
Calumet_WaterTempDrop_85,2303,0,0,1.0,1.0,oracle
MontroseToCalumet_AlertSpread_85,8,0,0,1.0,1.0,oracle
Montrose_HighTurbidity_85,155,0,0,1.0,1.0,oracle
Montrose_HighWave_85,230,0,0,1.0,1.0,oracle
Montrose_LocalAlert_85,155,0,0,1.0,1.0,oracle
Montrose_WaterTempDrop_85,2104,0,0,1.0,1.0,oracle
Regional_TripleAlert_85,10,0,0,1.0,1.0,oracle
63rd_HighTurbidity_85,0,5,111,0.0,0.0,mnar_30
63rd_HighWave_85,0,29,88,0.0,0.0,mnar_30
63rd_LocalAlert_85,0,5,111,0.0,0.0,mnar_30
63rd_WaterTempDrop_85,0,1696,1696,0.0,0.0,mnar_30
CalumetTo63rd_AlertSpread_85,0,1,16,0.0,0.0,mnar_30
Calumet_HighTurbidity_85,0,17,77,0.0,0.0,mnar_30
Calumet_HighWave_85,0,4,31,0.0,0.0,mnar_30
Calumet_LocalAlert_85,0,17,77,0.0,0.0,mnar_30
Calumet_WaterTempDrop_85,0,2305,2303,0.0,0.0,mnar_30
MontroseToCalumet_AlertSpread_85,0,0,8,0.0,0.0,mnar_30
Montrose_HighTurbidity_85,0,2,155,0.0,0.0,mnar_30
Montrose_HighWave_85,0,111,230,0.0,0.0,mnar_30
Montrose_LocalAlert_85,0,2,155,0.0,0.0,mnar_30
Montrose_WaterTempDrop_85,0,2114,2104,0.0,0.0,mnar_30
Regional_TripleAlert_85,0,0,10,0.0,0.0,mnar_30
