beach,attribute,MAE,RMSE,avg_confidence,dataset
63rd,Water_Temperature,0.6084146829055986,0.7907140733439812,1.0,oracle
63rd,Turbidity,0.6525234704277583,1.7417681334180146,1.0,oracle
63rd,Wave_Height,0.024871104728127518,0.03652100728840688,1.0,oracle
63rd,Wave_Period,0.9198685580260876,1.2707651536377291,1.0,oracle
Calumet,Water_Temperature,0.49343098629581644,0.6433146197586909,1.0,oracle
Calumet,Turbidity,0.40806424471663755,0.8797672446579018,1.0,oracle
Calumet,Wave_Height,0.018693127921399606,0.025163048454807106,1.0,oracle
Calumet,Wave_Period,0.7837647899207291,1.1665783352196117,1.0,oracle
Montrose,Water_Temperature,0.5692509810513111,0.8032839420157836,1.0,oracle
Montrose,Turbidity,0.5905229906836681,1.6503016134949295,1.0,oracle
Montrose,Wave_Height,0.02859142872878871,0.041639076551018415,1.0,oracle
Montrose,Wave_Period,0.9864642812626215,1.3954434516056649,1.0,oracle
63rd,Water_Temperature,0.6398282234557028,0.8448687016640243,0.9885599097937027,mnar_30
63rd,Turbidity,0.9876222159974238,3.433041469010691,0.9503055715817936,mnar_30
63rd,Wave_Height,0.029186343274558314,0.04996447473144803,0.9532931308905422,mnar_30
63rd,Wave_Period,0.9497064383311387,1.4048051238955692,0.9782584277913923,mnar_30
Calumet,Water_Temperature,0.5192171888750818,0.6822810845318801,0.9882494122786586,mnar_30
Calumet,Turbidity,0.5411520549986949,1.5229394273037433,0.9661756153557738,mnar_30
Calumet,Wave_Height,0.02263825815404052,0.03440609502839878,0.9521144738183481,mnar_30
Calumet,Wave_Period,0.8057688758497781,1.3815391449748173,0.9755340902372195,mnar_30
Montrose,Water_Temperature,0.5924534548710306,0.8446409843351147,0.9881454722838463,mnar_30
Montrose,Turbidity,0.9811149166045063,3.2861118299985423,0.9304955912860238,mnar_30
Montrose,Wave_Height,0.03660157420947856,0.05802840002648281,0.9504932129007396,mnar_30
Montrose,Wave_Period,1.030126047424987,1.506838166223271,0.9789467973886273,mnar_30
