# Started Wed Oct 15 19:29:32 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760570972.2341533,1432029600.0,float,None,11.2,source,11.001673380849086,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760570972.2361388
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760570972.2341533,1432029600.0,float,None,1.19,source,1.1465225682195228,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760570972.2361388
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760570972.2341533,1432029600.0,float,None,0.209,source,0.20645587533789156,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760570972.2371356
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760570972.2341533,1432029600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760570972.2371356
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760570972.2935386,1432036800.0,float,None,11.9,source,11.585982853011053,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760570972.3090556
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1760570972.2945418,1432036800.0,float,None,0.46,source,0.5835674376918824,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760570972.3090556
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760570972.2945418,1432036800.0,float,None,0.232,source,0.22295422342361443,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760570972.310061
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760570972.2945418,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760570972.310061
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760570972.2945418,1432036800.0,float,None,12.9,source,12.420710670385292,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760570972.310061
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760570972.2945418,1432036800.0,float,None,1.22,source,1.169657710569974,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760570972.310061
