# Started Tue Oct 14 17:08:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
Calumet_Beach_Turbidity,CalumetBeach201505191200,None,1760476133.9914517,1432036800.0,float,NTU,1.22,source,None,None,None,None,observed,dataset,{'ground_truth': 1.22}
Calumet_Beach_Wave_Height,CalumetBeach201505191200,None,1760476134.0189676,1432036800.0,float,m,0.147,source,None,None,None,None,observed,dataset,{'ground_truth': 0.147}
Calumet_Beach_Wave_Period,CalumetBeach201505191200,None,1760476134.0516427,1432036800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191300,None,1760476134.0652657,1432040400.0,float,C,12.9,source,None,None,None,None,observed,dataset,{'ground_truth': 12.9}
Montrose_Beach_Water_Temperature,MontroseBeach201505191200,None,1760476134.0652657,1432036800.0,float,C,11.9,source,None,None,None,None,observed,dataset,{'ground_truth': 11.9}
Montrose_Beach_Turbidity,MontroseBeach201505191200,None,1760476134.0967,1432036800.0,float,NTU,0.46,source,None,None,None,None,observed,dataset,{'ground_truth': 0.46}
Calumet_Beach_Wave_Height,CalumetBeach201505191300,None,1760476134.1316998,1432040400.0,float,m,0.147,source,None,None,None,None,observed,dataset,{'ground_truth': 0.147}
Montrose_Beach_Wave_Period,MontroseBeach201505191200,None,1760476134.1433883,1432036800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191400,None,1760476134.1592326,1432044000.0,float,C,12.9,source,None,None,None,None,observed,dataset,{'ground_truth': 12.9}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000,None,1760476134.1592326,1432029600.0,float,C,11.2,source,None,None,None,None,observed,dataset,{'ground_truth': 11.2}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000,None,1760476134.1900914,1432029600.0,float,NTU,1.19,source,None,None,None,None,observed,dataset,{'ground_truth': 1.19}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000,None,1760476134.2053516,1432029600.0,float,m,0.209,source,None,None,None,None,observed,dataset,{'ground_truth': 0.209}
Calumet_Beach_Wave_Height,CalumetBeach201505191400,None,1760476134.221351,1432044000.0,float,m,0.165,source,None,None,None,None,observed,dataset,{'ground_truth': 0.165}
Montrose_Beach_Wave_Period,MontroseBeach201505191300,None,1760476134.2374196,1432040400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505191400,None,1760476134.2374196,1432044000.0,float,s,4.0,source,None,None,None,None,observed,dataset,{'ground_truth': 4.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191500,None,1760476134.252866,1432047600.0,float,C,12.9,source,None,None,None,None,observed,dataset,{'ground_truth': 12.9}
Montrose_Beach_Water_Temperature,MontroseBeach201505191400,None,1760476134.2683754,1432044000.0,float,C,12.0,source,None,None,None,None,observed,dataset,{'ground_truth': 12.0}
Calumet_Beach_Turbidity,CalumetBeach201505191500,None,1760476134.2843833,1432047600.0,float,NTU,1.24,source,None,None,None,None,observed,dataset,{'ground_truth': 1.24}
Montrose_Beach_Turbidity,MontroseBeach201505191400,None,1760476134.299382,1432044000.0,float,NTU,0.54,source,None,None,None,None,observed,dataset,{'ground_truth': 0.54}
Calumet_Beach_Wave_Height,CalumetBeach201505191500,None,1760476134.315382,1432047600.0,float,m,0.221,source,None,None,None,None,observed,dataset,{'ground_truth': 0.221}
Montrose_Beach_Wave_Height,MontroseBeach201505191400,None,1760476134.315382,1432044000.0,float,m,0.291,source,None,None,None,None,observed,dataset,{'ground_truth': 0.291}
Montrose_Beach_Wave_Period,MontroseBeach201505191400,None,1760476134.3463829,1432044000.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191600,None,1760476134.3625298,1432051200.0,float,C,13.0,source,None,None,None,None,observed,dataset,{'ground_truth': 13.0}
Montrose_Beach_Turbidity,MontroseBeach201505191500,None,1760476134.3950143,1432047600.0,float,NTU,0.61,source,None,None,None,None,observed,dataset,{'ground_truth': 0.61}
Calumet_Beach_Wave_Height,CalumetBeach201505191600,None,1760476134.4260113,1432051200.0,float,m,0.235,source,None,None,None,None,observed,dataset,{'ground_truth': 0.235}
Calumet_Beach_Wave_Period,CalumetBeach201505191600,None,1760476134.442014,1432051200.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Montrose_Beach_Wave_Period,MontroseBeach201505191500,None,1760476134.442014,1432047600.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191700,None,1760476134.457017,1432054800.0,float,C,13.0,source,None,None,None,None,observed,dataset,{'ground_truth': 13.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300,None,1760476134.4725316,1432040400.0,float,C,11.3,source,None,None,None,None,observed,dataset,{'ground_truth': 11.3}
Montrose_Beach_Water_Temperature,MontroseBeach201505191600,None,1760476134.4725316,1432051200.0,float,C,12.1,source,None,None,None,None,observed,dataset,{'ground_truth': 12.1}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300,None,1760476134.4885356,1432040400.0,float,NTU,1.22,source,None,None,None,None,observed,dataset,{'ground_truth': 1.22}
Montrose_Beach_Turbidity,MontroseBeach201505191600,None,1760476134.4885356,1432051200.0,float,NTU,0.69,source,None,None,None,None,observed,dataset,{'ground_truth': 0.69}
Calumet_Beach_Turbidity,CalumetBeach201505191700,None,1760476134.4885356,1432054800.0,float,NTU,1.45,source,None,None,None,None,observed,dataset,{'ground_truth': 1.45}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300,None,1760476134.5199065,1432040400.0,float,m,0.194,source,None,None,None,None,observed,dataset,{'ground_truth': 0.194}
Montrose_Beach_Wave_Height,MontroseBeach201505191600,None,1760476134.5199065,1432051200.0,float,m,0.293,source,None,None,None,None,observed,dataset,{'ground_truth': 0.293}
Calumet_Beach_Wave_Height,CalumetBeach201505191700,None,1760476134.5199065,1432054800.0,float,m,0.225,source,None,None,None,None,observed,dataset,{'ground_truth': 0.225}
Montrose_Beach_Wave_Period,MontroseBeach201505191600,None,1760476134.5349038,1432051200.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300,None,1760476134.5349038,1432040400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191800,None,1760476134.56528,1432058400.0,float,C,13.1,source,None,None,None,None,observed,dataset,{'ground_truth': 13.1}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191400,None,1760476134.56528,1432044000.0,float,C,11.3,source,None,None,None,None,observed,dataset,{'ground_truth': 11.3}
Calumet_Beach_Turbidity,CalumetBeach201505191800,None,1760476134.5818026,1432058400.0,float,NTU,1.55,source,None,None,None,None,observed,dataset,{'ground_truth': 1.55}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191400,None,1760476134.5808003,1432044000.0,float,NTU,1.27,source,None,None,None,None,observed,dataset,{'ground_truth': 1.27}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400,None,1760476134.6117694,1432044000.0,float,m,0.237,source,None,None,None,None,observed,dataset,{'ground_truth': 0.237}
Calumet_Beach_Wave_Period,CalumetBeach201505191800,None,1760476134.641859,1432058400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Montrose_Beach_Wave_Period,MontroseBeach201505191700,None,1760476134.641859,1432054800.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Water_Temperature,CalumetBeach201505191900,None,1760476134.6575656,1432062000.0,float,C,13.0,source,None,None,None,None,observed,dataset,{'ground_truth': 13.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191500,None,1760476134.6575656,1432047600.0,float,C,11.3,source,None,None,None,None,observed,dataset,{'ground_truth': 11.3}
Montrose_Beach_Water_Temperature,MontroseBeach201505191800,None,1760476134.6734788,1432058400.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191500,None,1760476134.6886911,1432047600.0,float,NTU,1.35,source,None,None,None,None,observed,dataset,{'ground_truth': 1.35}
Montrose_Beach_Turbidity,MontroseBeach201505191800,None,1760476134.6896908,1432058400.0,float,NTU,0.67,source,None,None,None,None,observed,dataset,{'ground_truth': 0.67}
Calumet_Beach_Turbidity,CalumetBeach201505191900,None,1760476134.6896908,1432062000.0,float,NTU,1.58,source,None,None,None,None,observed,dataset,{'ground_truth': 1.58}
Montrose_Beach_Wave_Height,MontroseBeach201505191800,None,1760476134.719963,1432058400.0,float,m,0.267,source,None,None,None,None,observed,dataset,{'ground_truth': 0.267}
Montrose_Beach_Wave_Period,MontroseBeach201505191800,None,1760476134.7353473,1432058400.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
Calumet_Beach_Wave_Period,CalumetBeach201505191900,None,1760476134.751443,1432062000.0,float,s,3.0,source,None,None,None,None,observed,dataset,{'ground_truth': 3.0}
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191600,None,1760476134.7666445,1432051200.0,float,C,11.5,source,None,None,None,None,observed,dataset,{'ground_truth': 11.5}
Montrose_Beach_Water_Temperature,MontroseBeach201505191900,None,1760476134.7666445,1432062000.0,float,C,12.3,source,None,None,None,None,observed,dataset,{'ground_truth': 12.3}
Calumet_Beach_Water_Temperature,CalumetBeach201505192000,None,1760476134.7666445,1432065600.0,float,C,12.8,source,None,None,None,None,observed,dataset,{'ground_truth': 12.8}
Calumet_Beach_Turbidity,CalumetBeach201505192000,None,1760476134.7825468,1432065600.0,float,NTU,2.16,source,None,None,None,None,observed,dataset,{'ground_truth': 2.16}
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191600,None,1760476134.7825468,1432051200.0,float,NTU,1.95,source,None,None,None,None,observed,dataset,{'ground_truth': 1.95}
Montrose_Beach_Turbidity,MontroseBeach201505191900,None,1760476134.798039,1432062000.0,float,NTU,1.21,source,None,None,None,None,observed,dataset,{'ground_truth': 1.21}
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191600,None,1760476134.8128817,1432051200.0,float,m,0.246,source,None,None,None,None,observed,dataset,{'ground_truth': 0.246}
Calumet_Beach_Wave_Height,CalumetBeach201505192000,None,1760476134.8282886,1432065600.0,float,m,0.226,source,None,None,None,None,observed,dataset,{'ground_truth': 0.226}
