# Logger: PatternLogger | Started: Tue Oct 14 17:08:54 EDT 2025
fired_at,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-14 17:08:55.031,HighWaterTemp,atomic,[HighWaterTemp],[0.1000],1,1,0.1000,[[CalumetBeach201505192200]]
2025-10-14 17:09:05.051,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191300]]
2025-10-14 17:09:07.054,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191400]]
2025-10-14 17:09:09.059,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191500]]
2025-10-14 17:09:11.062,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191600]]
2025-10-14 17:09:13.067,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191700]]
2025-10-14 17:09:15.069,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191800]]
2025-10-14 17:09:17.073,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505191900]]
2025-10-14 17:09:19.076,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505192000]]
2025-10-14 17:09:21.077,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505192100]]
2025-10-14 17:09:23.081,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[CalumetBeach201505192300]]
2025-10-14 17:10:19.136,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505191200]]
2025-10-14 17:10:21.138,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505191400]]
2025-10-14 17:10:23.142,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505191600]]
2025-10-14 17:10:25.153,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505191800]]
2025-10-14 17:10:27.172,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505191900]]
2025-10-14 17:10:29.202,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505192000]]
2025-10-14 17:10:31.223,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505192100]]
2025-10-14 17:10:33.235,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[MontroseBeach201505192200]]
2025-10-14 17:11:25.462,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191000]]
2025-10-14 17:11:27.464,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191300]]
2025-10-14 17:11:29.466,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191400]]
2025-10-14 17:11:31.470,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191500]]
2025-10-14 17:11:33.471,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191600]]
2025-10-14 17:11:35.474,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191700]]
2025-10-14 17:11:37.476,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191800]]
2025-10-14 17:11:39.480,HighWaterTemp,atomic,[HighWaterTemp],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191900]]
2025-10-14 17:13:03.705,HighWaterTemp,atomic,[HighWaterTemp],[0.8971],1,1,0.8971,[[MontroseBeach201505200500]]
2025-10-14 17:13:07.708,HighWaterTemp,atomic,[HighWaterTemp],[0.8042],1,1,0.8042,[[MontroseBeach201505200600]]
2025-10-14 17:14:21.850,HighWaterTemp,atomic,[HighWaterTemp],[0.9086],1,1,0.9086,[[CalumetBeach201505201600]]
2025-10-14 17:14:44.043,HighWaterTemp,atomic,[HighWaterTemp],[0.6816],1,1,0.6816,[[MontroseBeach201505201700]]
2025-10-14 17:16:32.538,HighWaterTemp,atomic,[HighWaterTemp],[0.5483],1,1,0.5483,[[MontroseBeach201505211200]]
2025-10-14 17:17:14.658,HighWaterTemp,atomic,[HighWaterTemp],[0.4239],1,1,0.4239,[[MontroseBeach201505212200]]
