# Started Mon Mar 23 11:20:11 2026
type,ts,scenario,constituent_id,from_state,target_state,goal_domain,transition,result,final_state,health,goal_match,trigger_event
lifecycle_decision,0,PeriodicDropScenario,speed-1,disengaged/disengaged,participating,belonging,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,0,PeriodicDropScenario,speed-1,prepared/prepared,participating,belonging,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,0,PeriodicDropScenario,speed-1,passive/available,participating,belonging,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,0,PeriodicDropScenario,speed-1,passive/negotiating,participating,belonging,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,0,PeriodicDropScenario,speed-1,active/pending_entry,participating,belonging,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,0,PeriodicDropScenario,speed-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,defective,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,speed-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,faulty,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,speed-1,active/full_role,malfunctioning,health,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,speed-1,active/restricted_role,malfunctioning,health,raise_degrade,denied,active/restricted_role,malfunctioning,True,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,disengaged/disengaged,participating,belonging,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,prepared/prepared,participating,belonging,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,passive/available,participating,belonging,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,passive/negotiating,participating,belonging,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,active/pending_entry,participating,belonging,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,defective,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,faulty,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,active/full_role,malfunctioning,health,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,engine-temp-1,active/restricted_role,malfunctioning,health,raise_degrade,denied,active/restricted_role,malfunctioning,True,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,fuel-1,disengaged/disengaged,participating,belonging,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,0,PeriodicDropScenario,fuel-1,prepared/prepared,participating,belonging,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,0,PeriodicDropScenario,fuel-1,passive/available,participating,belonging,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,0,PeriodicDropScenario,fuel-1,passive/negotiating,participating,belonging,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,0,PeriodicDropScenario,fuel-1,active/pending_entry,participating,belonging,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,0,PeriodicDropScenario,fuel-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,defective,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,fuel-1,active/full_role,malfunctioning,health,raise_degrade,denied,active/full_role,faulty,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,fuel-1,active/full_role,malfunctioning,health,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,0,PeriodicDropScenario,fuel-1,active/restricted_role,malfunctioning,health,raise_degrade,denied,active/restricted_role,malfunctioning,True,raise_degrade
