# Started Mon Feb  9 12:05:23 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
76f9351b-a421-41a1-9fd7-f4172d944d49,float,speed-1,1770656723.1709538,17.81850234948695,1.0,observed,scalar,km/h,{'drift': 1.1363305301784905, 'noise': -3.3178281806915404}
df3f3093-51d9-4b91-988a-d308719895f9,float,engine-temp-1,1770656723.17295,70.0,1.0,observed,scalar,C,{'drift': 0.28955259874522205, 'noise': -0.9392094768143833}
e10c259d-0978-4f80-9a50-2cf0e4123291,float,fuel-1,1770656723.174954,50.54391028384446,1.0,observed,scalar,%,{'drift': 0.47804502318889064, 'noise': 0.06586526065557313}
18045f89-92e1-4258-90be-1fdb94bfb81f,float,engine-temp-1,1770656724.06769,70.0,1.0,observed,scalar,C,{'drift': -0.02044005199351523, 'noise': -1.4549209487065173}
45af7606-aad9-40fd-92f8-c668b77962fc,float,speed-1,1770656724.1849732,16.783622682436143,1.0,observed,scalar,km/h,{'drift': -1.0473275377339704, 'noise': 0.012447870683164572}
520f69a9-9bbb-4c9e-9d59-a00077aeb1a2,float,fuel-1,1770656724.4273722,50.40709973370217,1.0,observed,scalar,%,{'drift': -0.16915090557541368, 'noise': 0.032340355433122116}
e4897c43-c773-496d-8ca0-906c7d00a5cc,float,engine-temp-1,1770656724.9579747,70.66552807082265,1.0,observed,scalar,C,{'drift': -0.04330360325622201, 'noise': 0.708831674078869}
50116c68-9c03-467a-875e-99104f1dbd33,float,speed-1,1770656725.175137,15.307759657988825,1.0,observed,scalar,km/h,{'drift': -0.7970424480310907, 'noise': -0.6788205764162268}
eef03060-5d83-42cc-b089-912ac8290922,float,fuel-1,1770656725.6801789,49.898380636870776,1.0,observed,scalar,%,{'drift': -0.4095019695257174, 'noise': -0.09921712730567783}
c90647e6-53f7-424e-a9fb-85c38fd3baee,float,engine-temp-1,1770656725.847129,70.0,1.0,observed,scalar,C,{'drift': 0.20197827084410308, 'noise': -0.917838201772788}
7ca3f9b6-7ea8-47e0-bb93-493ef1615fa7,float,speed-1,1770656726.1815915,12.592269179200581,1.0,observed,scalar,km/h,{'drift': -0.5819993412807216, 'noise': -2.1334911375075216}
661dba27-84b8-432e-873a-5fb7e0f4a7d1,float,engine-temp-1,1770656726.7375321,70.0,1.0,observed,scalar,C,{'drift': -0.27912407197231887, 'noise': -0.13257716693176327}
7372a5ab-5cc1-4016-bc8d-11c0ac999deb,float,fuel-1,1770656726.9294782,50.10257980921231,1.0,observed,scalar,%,{'drift': 0.2365982338100281, 'noise': -0.032399061468494805}
a85e5563-ff16-4a10-a8d9-2120b9af732e,float,speed-1,1770656727.1799018,17.353124616248444,1.0,observed,scalar,km/h,{'drift': 1.2342392638767765, 'noise': 3.5266161731710857}
973c13d4-afed-400d-9bba-1156681ff8fd,simulated,engine-temp-1,1770656727.601211,70.7117530234607,1.0,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1770656727.7032845}
8c028ce7-634c-48c2-aa73-d144510f373a,float,speed-1,1770656728.1812491,14.485985693227688,1.0,observed,scalar,km/h,{'drift': 0.8181943962299685, 'noise': -3.6853333192507245}
a27791d0-ebdc-4f47-82d8-6c090a932f35,float,fuel-1,1770656728.1812491,49.833417054675415,1.0,observed,scalar,%,{'drift': -0.24634680391395902, 'noise': -0.022815950622934608}
21b0a776-ecf1-4214-99be-af960543024c,float,engine-temp-1,1770656728.5146995,70.0,1.0,observed,scalar,C,{'drift': 0.28287633758602476, 'noise': -0.5615118845449245}
92d0fc6c-36fe-4292-933c-8544e6453c06,float,speed-1,1770656729.1795008,25.189848566376234,1.0,observed,scalar,km/h,{'drift': 1.1720527745370655, 'noise': 9.531810098611482}
d94df16e-0ee4-453d-8d79-7f4764d31e18,float,engine-temp-1,1770656729.4116547,70.96221300951858,1.0,observed,scalar,C,{'drift': -0.010419794048997788, 'noise': 0.9726328035675735}
822045a4-849d-41de-b0a6-b1939eda3d5c,float,fuel-1,1770656729.4318643,50.29608767137877,1.0,observed,scalar,%,{'drift': 0.4171996433002215, 'noise': 0.04547097340313422}
dbdbb22d-8555-4920-91de-069cb27968fe,simulated,speed-1,1770656730.1512105,19.379321214578454,1.0,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1770656730.2592874}
7971df0c-d4c2-46a7-97b3-c159581c2fe5,float,engine-temp-1,1770656730.300391,72.0586007671537,1.0,observed,scalar,C,{'drift': 0.2695416947611185, 'noise': 0.8268460628740029}
839d01a7-5e35-4491-b65f-9a4808ce2b30,float,fuel-1,1770656730.6804588,49.912919025017544,1.0,observed,scalar,%,{'drift': -0.3521939498621378, 'noise': -0.030974696499090834}
37fd8798-d67f-4c11-8446-141f1487ad72,float,speed-1,1770656731.1797905,18.138673900522715,1.0,observed,scalar,km/h,{'drift': -1.1056190673749682, 'noise': 1.3242579730262891}
ff95ada9-ce14-4504-a638-41c8586929df,float,engine-temp-1,1770656731.1907525,73.85363864370882,1.0,observed,scalar,C,{'drift': -0.29356841186208205, 'noise': 2.0886062884172008}
399fbde5-0a34-4f31-9da0-9855c5e2fcae,float,fuel-1,1770656731.9350724,49.695836559944894,1.0,observed,scalar,%,{'drift': -0.3458499901804869, 'noise': 0.12876752510783845}
159822b4-905a-4094-a21b-a32779f35d12,float,engine-temp-1,1770656732.0812163,73.54318103544496,1.0,observed,scalar,C,{'drift': -0.20294737003555174, 'noise': -0.10751023822830694}
0dc8ef81-e06b-475d-8106-7364e65e5403,float,speed-1,1770656732.1805253,15.867956810778484,1.0,observed,scalar,km/h,{'drift': -1.7766290127112851, 'noise': -0.49408807703294644}
cd604613-08e2-4420-90d0-5704109c35c0,float,engine-temp-1,1770656732.9687812,72.02828476836602,1.0,observed,scalar,C,{'drift': -0.08194810001249836, 'noise': -1.4329481670664392}
