# Logger: PatternLogger | Started: Mon Feb 09 12:05:20 EST 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-02-09 12:05:23.317,2.506,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[df3f3093-51d9-4b91-988a-d308719895f9]]
2026-02-09 12:05:24.075,3.264,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[18045f89-92e1-4258-90be-1fdb94bfb81f]]
2026-02-09 12:05:24.962,4.151,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e4897c43-c773-496d-8ca0-906c7d00a5cc]]
2026-02-09 12:05:25.847,5.036,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[c90647e6-53f7-424e-a9fb-85c38fd3baee]]
2026-02-09 12:05:26.740,5.929,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[661dba27-84b8-432e-873a-5fb7e0f4a7d1]]
2026-02-09 12:05:27.708,6.897,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[973c13d4-afed-400d-9bba-1156681ff8fd]]
2026-02-09 12:05:28.514,7.703,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[21b0a776-ecf1-4214-99be-af960543024c]]
2026-02-09 12:05:29.203,8.392,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[92d0fc6c-36fe-4292-933c-8544e6453c06]]
2026-02-09 12:05:29.414,8.603,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d94df16e-0ee4-453d-8d79-7f4764d31e18]]
2026-02-09 12:05:29.416,8.605,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[92d0fc6c-36fe-4292-933c-8544e6453c06];[d94df16e-0ee4-453d-8d79-7f4764d31e18]]
2026-02-09 12:05:30.310,9.499,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7971df0c-d4c2-46a7-97b3-c159581c2fe5]]
2026-02-09 12:05:30.326,9.515,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[92d0fc6c-36fe-4292-933c-8544e6453c06];[d94df16e-0ee4-453d-8d79-7f4764d31e18];[7971df0c-d4c2-46a7-97b3-c159581c2fe5]]
2026-02-09 12:05:31.202,10.391,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ff95ada9-ce14-4504-a638-41c8586929df]]
2026-02-09 12:05:32.090,11.279,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[159822b4-905a-4094-a21b-a32779f35d12]]
2026-02-09 12:05:32.971,12.160,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[cd604613-08e2-4420-90d0-5704109c35c0]]
2026-02-09 12:05:33.861,13.050,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[8eb9e1f2-5df0-470e-b6d1-a0c319cfd4e0]]
2026-02-09 12:05:34.758,13.947,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a8d4d2dc-5690-4b9a-8afe-8cee1c03cf93]]
2026-02-09 12:05:35.647,14.836,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d4b15f4f-e612-4e9b-b86d-e85295ef2955]]
2026-02-09 12:05:36.551,15.740,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a53529e8-b29a-406c-80b5-716e50fcd0a6]]
2026-02-09 12:05:37.424,16.613,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[2d45d971-ef37-4dde-9feb-af1e1437b86b]]
2026-02-09 12:05:38.310,17.499,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[36e1abd7-6e32-4101-8238-b15d8da771f8]]
