# Started Mon Mar  9 17:48:59 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
9dbe12b0-bd7e-4394-866e-9ab6a86a0718,float,speed-1,1773092939.6119003,19.754550067286942,1.0,observed,scalar,km/h,{'drift': 0.5720909038743711, 'noise': -0.8175408365874297}
d3655609-14c1-4c46-9d83-83a2848f1eae,float,engine-temp-1,1773092939.6222622,70.08868261110494,1.0,observed,scalar,C,{'drift': -0.04335452859308708, 'noise': 0.13203713969802666}
ae7bfa27-460c-480c-b6c1-77cbdab6d1f1,float,fuel-1,1773092939.6232643,49.912331667241844,1.0,observed,scalar,%,{'drift': -0.133221616882383, 'noise': 0.0455532841242257}
d9e82887-75c1-4a3f-9bda-511b2202f036,float,engine-temp-1,1773092940.5131443,70.0,1.0,observed,scalar,C,{'drift': -0.2828105316542064, 'noise': -0.44962309355930075}
1149ed5e-d07b-4761-b004-fe4f88cf81b3,float,speed-1,1773092940.6232007,22.38869496166757,1.0,observed,scalar,km/h,{'drift': 0.23624995801551485, 'noise': 2.3978949363651156}
822fc8dd-4ae0-414e-92e4-b268c5142aca,float,fuel-1,1773092940.8758261,49.21577399653541,1.0,observed,scalar,%,{'drift': -0.45217485961901827, 'noise': -0.24438281108741716}
ef1721ad-3831-4ae1-b078-07a52c6470a5,float,engine-temp-1,1773092941.4174466,70.93401324315683,1.0,observed,scalar,C,{'drift': -0.04546402965610713, 'noise': 0.9794772728129301}
d3587e32-3a09-430b-8b51-e5cf98e0fd8b,float,speed-1,1773092941.6196651,20.687402831569674,1.0,observed,scalar,km/h,{'drift': -1.6758248294968046, 'noise': -0.025467300601094246}
645eaeb9-51fc-4e0c-b3d0-cbccb515dd50,float,fuel-1,1773092942.1294436,49.6114688064656,1.0,observed,scalar,%,{'drift': 0.36169162953599876, 'noise': 0.03400318039419283}
57851765-841c-4162-96fd-92d0da88146a,float,engine-temp-1,1773092942.304619,73.06560780937971,1.0,observed,scalar,C,{'drift': 0.051390483431271616, 'noise': 2.080204082791609}
5c0fcf36-78a8-4218-b0fe-a91bec492dc4,float,speed-1,1773092942.6194322,20.739993567687133,1.0,observed,scalar,km/h,{'drift': 0.3349147177452929, 'noise': -0.2823239816278342}
18369d75-b298-4fc0-bbcd-150c2506cdb2,float,engine-temp-1,1773092943.1973853,73.38856635151627,1.0,observed,scalar,C,{'drift': 0.054328966925772604, 'noise': 0.26862957521078484}
ceb489b2-a118-4ce8-86bd-58727b5e9e8f,float,fuel-1,1773092943.3848262,49.64501995979772,1.0,observed,scalar,%,{'drift': 0.07810823717324689, 'noise': -0.04455708384112506}
657184b8-59cf-4134-85c2-d0de1ca49ede,float,speed-1,1773092943.6190548,17.89052297748777,1.0,observed,scalar,km/h,{'drift': 0.9473309390407145, 'noise': -3.796801529240079}
984e36c3-2cc9-40da-a2e4-b712e4025c52,float,engine-temp-1,1773092944.0750048,74.06377530827055,1.0,observed,scalar,C,{'drift': 0.06468948307790029, 'noise': 0.6105194736763719}
499797b1-694d-4449-928b-0a103a2fea89,float,fuel-1,1773092944.6262763,49.20531889190412,1.0,observed,scalar,%,{'drift': -0.32005068245494095, 'noise': -0.11965038543865986}
ab74e141-7ea9-4a80-8cb0-f77ac0f08058,float,speed-1,1773092944.6262763,14.293500318757632,1.0,observed,scalar,km/h,{'drift': 0.08879975795779993, 'noise': -3.6858224166879374}
748fbed5-5194-455e-8e59-8db63b985602,float,engine-temp-1,1773092944.972638,72.04633740274019,1.0,observed,scalar,C,{'drift': 0.2817304843016997, 'noise': -2.299168389832055}
d1a87718-e005-47e2-b26e-0d4348f33b5c,float,speed-1,1773092945.6260252,11.156833277514249,1.0,observed,scalar,km/h,{'drift': -0.48007552779288654, 'noise': -2.6565915134504974}
02822861-dcbb-4fde-b41c-efc134e1d48b,float,engine-temp-1,1773092945.8591805,70.10920504158553,1.0,observed,scalar,C,{'drift': 0.29446172638772133, 'noise': -2.2315940875423843}
ed9f7662-201a-4048-a698-a9a333d0c985,float,fuel-1,1773092945.8750849,49.463320545336146,1.0,observed,scalar,%,{'drift': 0.28706278677900066, 'noise': -0.029061133346972995}
3ceda48e-5493-47aa-87eb-b9f33fd18c49,float,speed-1,1773092946.6255307,8.756655678213093,1.0,observed,scalar,km/h,{'drift': -0.3760257860534799, 'noise': -2.0241518132476752}
62317170-ed18-4ccb-82bf-b6a4683aa9ff,float,engine-temp-1,1773092946.7515357,70.44824905708397,1.0,observed,scalar,C,{'drift': 0.09019613105121432, 'noise': 0.24884788444722838}
