# Logger: PatternLogger | Started: Thu Apr 09 08:22:57 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-09 08:23:00.962,3.792,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6d20359c-266b-464a-bb64-d105f4337cb3]]
2026-04-09 08:23:00.984,3.814,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[21eb8b99-52d9-4ebb-b7a1-04c3e7fff5b7]]
2026-04-09 08:23:01.886,4.716,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[1afae751-5d1d-40c3-b85a-00145002cbda]]
2026-04-09 08:23:01.900,4.730,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[816886e4-ca9b-41f7-8287-073b4e3320b5]]
2026-04-09 08:23:01.913,4.743,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[21eb8b99-52d9-4ebb-b7a1-04c3e7fff5b7];[816886e4-ca9b-41f7-8287-073b4e3320b5]]
2026-04-09 08:23:02.870,5.700,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[c662215d-13c0-4f46-95e5-910a18ef10a8]]
2026-04-09 08:23:02.882,5.712,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[21eb8b99-52d9-4ebb-b7a1-04c3e7fff5b7];[816886e4-ca9b-41f7-8287-073b4e3320b5];[c662215d-13c0-4f46-95e5-910a18ef10a8]]
2026-04-09 08:23:02.895,5.725,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[87f44fed-cd45-4562-920d-c152e96af3ad]]
2026-04-09 08:23:03.872,6.702,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[43a4a30c-ac36-4bc4-9747-68d73312a135]]
2026-04-09 08:23:03.886,6.716,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[4266879f-80cc-4662-926f-df07c2cb101d]]
2026-04-09 08:23:03.887,6.717,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[87f44fed-cd45-4562-920d-c152e96af3ad];[4266879f-80cc-4662-926f-df07c2cb101d]]
2026-04-09 08:23:04.871,7.701,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[63297e8c-1682-4c66-b8f0-e89ebf774ead]]
2026-04-09 08:23:04.872,7.702,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[87f44fed-cd45-4562-920d-c152e96af3ad];[4266879f-80cc-4662-926f-df07c2cb101d];[63297e8c-1682-4c66-b8f0-e89ebf774ead]]
2026-04-09 08:23:05.872,8.702,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[8eee0337-390c-47bb-9193-f5134a25e11c]]
2026-04-09 08:23:05.887,8.717,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b062a7a3-89b4-4a47-8e92-b9f41d6fe669]]
2026-04-09 08:23:05.888,8.718,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[8eee0337-390c-47bb-9193-f5134a25e11c];[b062a7a3-89b4-4a47-8e92-b9f41d6fe669]]
2026-04-09 08:23:06.878,9.708,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[23cd7625-efad-43ea-9145-ef563250d9bf]]
2026-04-09 08:23:06.891,9.721,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[df8f65d4-5c73-45f3-907b-97ed789d75c9]]
2026-04-09 08:23:06.892,9.722,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[8eee0337-390c-47bb-9193-f5134a25e11c];[b062a7a3-89b4-4a47-8e92-b9f41d6fe669];[df8f65d4-5c73-45f3-907b-97ed789d75c9]]
2026-04-09 08:23:06.892,9.722,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[23cd7625-efad-43ea-9145-ef563250d9bf];[df8f65d4-5c73-45f3-907b-97ed789d75c9]]
2026-04-09 08:23:07.876,10.706,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[7fcaf483-89cc-463b-bd15-05d8ff6816fe]]
2026-04-09 08:23:07.890,10.720,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[3c4eb22e-130a-4b29-bb7f-eb58275d3062]]
2026-04-09 08:23:07.891,10.721,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[23cd7625-efad-43ea-9145-ef563250d9bf];[df8f65d4-5c73-45f3-907b-97ed789d75c9];[3c4eb22e-130a-4b29-bb7f-eb58275d3062]]
2026-04-09 08:23:07.891,10.721,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[7fcaf483-89cc-463b-bd15-05d8ff6816fe];[3c4eb22e-130a-4b29-bb7f-eb58275d3062]]
2026-04-09 08:23:08.888,11.718,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[ad37e2a1-8f70-461a-8a69-2554d19a3d0c]]
2026-04-09 08:23:08.901,11.731,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a5ca4d53-9cbf-40f8-acf6-82827de1e791]]
2026-04-09 08:23:08.902,11.732,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[7fcaf483-89cc-463b-bd15-05d8ff6816fe];[3c4eb22e-130a-4b29-bb7f-eb58275d3062];[a5ca4d53-9cbf-40f8-acf6-82827de1e791]]
2026-04-09 08:23:08.902,11.732,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[ad37e2a1-8f70-461a-8a69-2554d19a3d0c];[a5ca4d53-9cbf-40f8-acf6-82827de1e791]]
2026-04-09 08:23:09.871,12.701,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[58315319-7e35-432b-b301-fdd81cbe3f3f]]
2026-04-09 08:23:09.884,12.714,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e31e2812-7ac5-4f8c-be46-f2534cc0394b]]
2026-04-09 08:23:09.885,12.715,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[ad37e2a1-8f70-461a-8a69-2554d19a3d0c];[a5ca4d53-9cbf-40f8-acf6-82827de1e791];[e31e2812-7ac5-4f8c-be46-f2534cc0394b]]
2026-04-09 08:23:09.885,12.715,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[58315319-7e35-432b-b301-fdd81cbe3f3f];[e31e2812-7ac5-4f8c-be46-f2534cc0394b]]
2026-04-09 08:23:10.873,13.703,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a6271653-6f38-4fb1-b4ff-37ceb87eec56]]
2026-04-09 08:23:10.874,13.704,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[58315319-7e35-432b-b301-fdd81cbe3f3f];[e31e2812-7ac5-4f8c-be46-f2534cc0394b];[a6271653-6f38-4fb1-b4ff-37ceb87eec56]]
2026-04-09 08:23:10.887,13.717,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[cba6df2c-c0a3-417d-acc6-c067b2d47d40]]
2026-04-09 08:23:11.877,14.707,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[50f4d3b9-8ed0-461e-9009-c1c440a2672e]]
2026-04-09 08:23:11.878,14.708,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[cba6df2c-c0a3-417d-acc6-c067b2d47d40];[50f4d3b9-8ed0-461e-9009-c1c440a2672e]]
2026-04-09 08:23:11.889,14.719,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9ffd84df-53eb-4f44-8a8f-7c6d37ac6db9]]
2026-04-09 08:23:12.880,15.710,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[f49fd7fe-427f-4855-a521-2c47c5a0e22e]]
2026-04-09 08:23:12.893,15.723,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[33e17dd2-11f9-439e-851a-0cffafd25535]]
2026-04-09 08:23:12.894,15.724,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[cba6df2c-c0a3-417d-acc6-c067b2d47d40];[50f4d3b9-8ed0-461e-9009-c1c440a2672e];[33e17dd2-11f9-439e-851a-0cffafd25535]]
2026-04-09 08:23:12.894,15.724,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[9ffd84df-53eb-4f44-8a8f-7c6d37ac6db9];[33e17dd2-11f9-439e-851a-0cffafd25535]]
2026-04-09 08:23:13.869,16.699,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[ef822377-a06f-4bf2-964d-976271dfa747]]
2026-04-09 08:23:13.882,16.712,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[4528f57b-f92f-4b47-a4e6-6630c7902a86]]
2026-04-09 08:23:13.883,16.713,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[9ffd84df-53eb-4f44-8a8f-7c6d37ac6db9];[33e17dd2-11f9-439e-851a-0cffafd25535];[4528f57b-f92f-4b47-a4e6-6630c7902a86]]
2026-04-09 08:23:13.884,16.714,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[ef822377-a06f-4bf2-964d-976271dfa747];[4528f57b-f92f-4b47-a4e6-6630c7902a86]]
2026-04-09 08:23:14.869,17.699,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[06766548-8b80-4038-890c-69fd3c2d2dc5]]
2026-04-09 08:23:14.882,17.712,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[476ded5c-45c0-4aa0-a412-21427289d999]]
2026-04-09 08:23:14.883,17.713,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[ef822377-a06f-4bf2-964d-976271dfa747];[4528f57b-f92f-4b47-a4e6-6630c7902a86];[476ded5c-45c0-4aa0-a412-21427289d999]]
2026-04-09 08:23:14.883,17.713,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[06766548-8b80-4038-890c-69fd3c2d2dc5];[476ded5c-45c0-4aa0-a412-21427289d999]]
2026-04-09 08:23:15.876,18.706,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[521f6673-250f-4c03-83f2-2f1a07383520]]
2026-04-09 08:23:15.877,18.707,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[06766548-8b80-4038-890c-69fd3c2d2dc5];[476ded5c-45c0-4aa0-a412-21427289d999];[521f6673-250f-4c03-83f2-2f1a07383520]]
2026-04-09 08:23:15.891,18.721,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9e00f9eb-9870-4258-9bc5-174b47cd7be0]]
2026-04-09 08:23:17.881,20.711,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[657c4b5c-13d2-43cc-9c9e-df72cb793675]]
2026-04-09 08:23:17.893,20.723,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[948e6160-c274-4fa2-9a95-ab36b26e2b30]]
2026-04-09 08:23:17.894,20.724,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[9e00f9eb-9870-4258-9bc5-174b47cd7be0];[948e6160-c274-4fa2-9a95-ab36b26e2b30]]
2026-04-09 08:23:18.884,21.714,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[badfaf1c-a813-48d6-b21c-512a44218e79]]
2026-04-09 08:23:19.872,22.702,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6b388fb0-f44f-465e-a864-6d615114e2c1]]
2026-04-09 08:23:19.873,22.703,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[9e00f9eb-9870-4258-9bc5-174b47cd7be0];[948e6160-c274-4fa2-9a95-ab36b26e2b30];[6b388fb0-f44f-465e-a864-6d615114e2c1]]
2026-04-09 08:23:19.873,22.703,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[badfaf1c-a813-48d6-b21c-512a44218e79];[6b388fb0-f44f-465e-a864-6d615114e2c1]]
2026-04-09 08:23:19.885,22.715,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[07f9cc54-8522-479c-ade9-cf860182ea61]]
2026-04-09 08:23:20.871,23.701,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[b33ed464-f5a0-4a3f-879b-256990bd00df]]
2026-04-09 08:23:20.884,23.714,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e7d6b104-cbd3-4edb-8f4c-c6188ec81292]]
2026-04-09 08:23:20.885,23.715,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[badfaf1c-a813-48d6-b21c-512a44218e79];[6b388fb0-f44f-465e-a864-6d615114e2c1];[e7d6b104-cbd3-4edb-8f4c-c6188ec81292]]
2026-04-09 08:23:20.885,23.715,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[07f9cc54-8522-479c-ade9-cf860182ea61];[e7d6b104-cbd3-4edb-8f4c-c6188ec81292]]
2026-04-09 08:23:21.871,24.701,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d1fd2be5-4109-4a36-813b-2fadfd8a5069]]
2026-04-09 08:23:21.871,24.701,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[07f9cc54-8522-479c-ade9-cf860182ea61];[e7d6b104-cbd3-4edb-8f4c-c6188ec81292];[d1fd2be5-4109-4a36-813b-2fadfd8a5069]]
2026-04-09 08:23:21.885,24.715,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[5b7720e1-9a57-4cb7-9d9b-e6b6284d5373]]
2026-04-09 08:23:22.880,25.710,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[5d2796ec-77c0-4837-a39d-0e5709a86662]]
2026-04-09 08:23:23.877,26.707,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[f9dc57f7-f725-4609-8e81-c1a592b07b28]]
2026-04-09 08:23:23.889,26.719,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b5827fed-d78d-4c19-a03f-74cd389d39f2]]
2026-04-09 08:23:23.890,26.720,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[5b7720e1-9a57-4cb7-9d9b-e6b6284d5373];[b5827fed-d78d-4c19-a03f-74cd389d39f2]]
2026-04-09 08:23:24.874,27.704,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[45d48113-1312-4587-8bac-230bf8d1d6c8]]
2026-04-09 08:23:24.888,27.718,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d66bf059-ee55-4934-a82b-c0ebc3893d3f]]
2026-04-09 08:23:24.889,27.719,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[5b7720e1-9a57-4cb7-9d9b-e6b6284d5373];[b5827fed-d78d-4c19-a03f-74cd389d39f2];[d66bf059-ee55-4934-a82b-c0ebc3893d3f]]
2026-04-09 08:23:24.889,27.719,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[45d48113-1312-4587-8bac-230bf8d1d6c8];[d66bf059-ee55-4934-a82b-c0ebc3893d3f]]
2026-04-09 08:23:25.878,28.708,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[0f344cc7-35c1-46de-9d8e-fb47a11f9b49]]
2026-04-09 08:23:25.879,28.709,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[45d48113-1312-4587-8bac-230bf8d1d6c8];[d66bf059-ee55-4934-a82b-c0ebc3893d3f];[0f344cc7-35c1-46de-9d8e-fb47a11f9b49]]
2026-04-09 08:23:26.884,29.714,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[e12c740f-406a-4a2b-8645-7ac5acdf5214]]
2026-04-09 08:23:26.897,29.727,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[f76577c0-4453-4944-9226-7cf2d0950922]]
2026-04-09 08:23:26.898,29.728,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[e12c740f-406a-4a2b-8645-7ac5acdf5214];[f76577c0-4453-4944-9226-7cf2d0950922]]
2026-04-09 08:23:27.882,30.712,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e78402fa-3db3-49e7-9f2b-dabe9b3f1e44]]
2026-04-09 08:23:27.883,30.713,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[e12c740f-406a-4a2b-8645-7ac5acdf5214];[f76577c0-4453-4944-9226-7cf2d0950922];[e78402fa-3db3-49e7-9f2b-dabe9b3f1e44]]
2026-04-09 08:23:27.894,30.724,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[24afc171-1717-4790-8a7c-35a81e75bc91]]
2026-04-09 08:23:28.868,31.698,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6f674753-741c-407c-ae50-52f3d275c5fa]]
2026-04-09 08:23:28.869,31.699,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[24afc171-1717-4790-8a7c-35a81e75bc91];[6f674753-741c-407c-ae50-52f3d275c5fa]]
2026-04-09 08:23:28.880,31.710,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[3abca643-7097-4223-a6dc-ee2986a62ace]]
2026-04-09 08:23:29.872,32.702,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[bc8ebf57-b74a-4414-9cd4-3f17b27b1051]]
2026-04-09 08:23:29.885,32.715,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a65b58ca-f146-4bae-bf3a-303e36bbf326]]
2026-04-09 08:23:29.886,32.716,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[24afc171-1717-4790-8a7c-35a81e75bc91];[6f674753-741c-407c-ae50-52f3d275c5fa];[a65b58ca-f146-4bae-bf3a-303e36bbf326]]
2026-04-09 08:23:29.886,32.716,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[3abca643-7097-4223-a6dc-ee2986a62ace];[a65b58ca-f146-4bae-bf3a-303e36bbf326]]
2026-04-09 08:23:30.880,33.710,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[0dfbfaba-821b-41fb-b198-4014bd33a05d]]
2026-04-09 08:23:30.881,33.711,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[3abca643-7097-4223-a6dc-ee2986a62ace];[a65b58ca-f146-4bae-bf3a-303e36bbf326];[0dfbfaba-821b-41fb-b198-4014bd33a05d]]
2026-04-09 08:23:30.894,33.724,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[09dedbcd-cc3f-455d-b380-851283bc635a]]
2026-04-09 08:23:31.882,34.712,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[a0360ea5-1986-4009-a7dc-bcf32e51f397]]
2026-04-09 08:23:31.895,34.725,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[3a3f2879-6a2e-4855-a7bf-f8945d8a302d]]
2026-04-09 08:23:31.896,34.726,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[09dedbcd-cc3f-455d-b380-851283bc635a];[3a3f2879-6a2e-4855-a7bf-f8945d8a302d]]
2026-04-09 08:23:32.880,35.710,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[84cd0b96-c96d-4dd3-9074-bf7b4c5c72c3]]
2026-04-09 08:23:32.881,35.711,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[09dedbcd-cc3f-455d-b380-851283bc635a];[3a3f2879-6a2e-4855-a7bf-f8945d8a302d];[84cd0b96-c96d-4dd3-9074-bf7b4c5c72c3]]
2026-04-09 08:23:33.880,36.710,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[81b7fb78-5c1d-4cc0-8df8-fe25c71debaf]]
2026-04-09 08:23:33.892,36.722,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d29ab525-6cf8-4131-a799-ddaadb14be75]]
2026-04-09 08:23:33.893,36.723,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[81b7fb78-5c1d-4cc0-8df8-fe25c71debaf];[d29ab525-6cf8-4131-a799-ddaadb14be75]]
2026-04-09 08:23:34.875,37.705,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[df36cec4-974d-4746-8ca9-ecb82f741e00]]
2026-04-09 08:23:34.888,37.718,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[bb778a01-ccdc-43cd-8310-f4b52cc90890]]
