# Logger: PatternLogger | Started: Sun Apr 26 10:47:21 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:47:26.191,4.626,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[3a900244-79d0-4566-814d-43143c93ce57]]
2026-04-26 10:47:26.210,4.645,Overspeeding,atomic,[Overspeeding],[0.8884],1,1,0.8884,[speed-1],[[d9098f6b-fa2e-4d8c-820a-32e6f5aac006]]
2026-04-26 10:47:27.015,5.450,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[5a920eca-3b65-419a-af66-700659b182fc]]
2026-04-26 10:47:27.029,5.464,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b12c98db-0047-4ac9-a46e-a5479200ea12]]
2026-04-26 10:47:27.044,5.479,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[3a900244-79d0-4566-814d-43143c93ce57];[b12c98db-0047-4ac9-a46e-a5479200ea12]]
2026-04-26 10:47:28.023,6.458,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[767fd44c-9306-4c3f-894c-a527604c0f37]]
2026-04-26 10:47:28.035,6.470,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e2686422-a620-4d85-b8d9-bb92e8042169]]
2026-04-26 10:47:28.040,6.475,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[3a900244-79d0-4566-814d-43143c93ce57];[b12c98db-0047-4ac9-a46e-a5479200ea12];[e2686422-a620-4d85-b8d9-bb92e8042169]]
2026-04-26 10:47:28.042,6.477,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[767fd44c-9306-4c3f-894c-a527604c0f37];[e2686422-a620-4d85-b8d9-bb92e8042169]]
2026-04-26 10:47:29.016,7.451,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d8cbb0a0-2c0b-4832-b134-b680f989f5b5]]
2026-04-26 10:47:29.018,7.453,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[767fd44c-9306-4c3f-894c-a527604c0f37];[e2686422-a620-4d85-b8d9-bb92e8042169];[d8cbb0a0-2c0b-4832-b134-b680f989f5b5]]
2026-04-26 10:47:29.029,7.464,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[023161b5-7e7a-416b-ab69-e024b313c49f]]
2026-04-26 10:47:30.026,8.461,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6f6bad6c-c5fb-40ab-9386-1b5fa300ff78]]
2026-04-26 10:47:30.027,8.462,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[023161b5-7e7a-416b-ab69-e024b313c49f];[6f6bad6c-c5fb-40ab-9386-1b5fa300ff78]]
