# Logger: PatternLogger | Started: Wed Oct 15 18:50:34 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 18:50:42.296,7.731,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_0]]
2025-10-15 18:50:42.305,7.740,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_1]]
2025-10-15 18:50:42.306,7.741,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_2]]
2025-10-15 18:50:42.795,8.230,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_3]]
2025-10-15 18:50:43.681,9.116,EngineOverheat,atomic,[EngineOverheat],[0.8867],1,1,0.8867,[[engine-temp-1_4]]
2025-10-15 18:50:44.226,9.661,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[[speed-1_4]]
2025-10-15 18:50:44.571,10.006,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_5]]
2025-10-15 18:50:44.574,10.009,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[[speed-1_4];[engine-temp-1_5]]
2025-10-15 18:50:45.223,10.658,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[[speed-1_5]]
2025-10-15 18:50:45.473,10.908,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_6]]
2025-10-15 18:50:45.485,10.920,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[[speed-1_4];[engine-temp-1_5];[engine-temp-1_6]]
2025-10-15 18:50:45.485,10.920,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[[speed-1_5];[engine-temp-1_6]]
2025-10-15 18:50:46.227,11.662,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[[speed-1_6]]
2025-10-15 18:50:46.352,11.787,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_7]]
2025-10-15 18:50:46.353,11.788,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[[speed-1_5];[engine-temp-1_6];[engine-temp-1_7]]
2025-10-15 18:50:46.353,11.788,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[[speed-1_6];[engine-temp-1_7]]
