# Started Wed Oct 15 18:55:03 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
speed-1,speed-1_0,1760568903.3094084,1760568903.3094084,1760568903.3094084,float,km/h,20.65183505781492,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_1,1760568903.310394,1760568903.310394,1760568903.310394,float,km/h,18.16923553312936,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_2,1760568903.310394,1760568903.310394,1760568903.310394,float,km/h,22.395572378504447,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760568903.310394,1760568903.310394,1760568903.310394,float,C,71.50310438222765,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760568903.311373,1760568903.311373,1760568903.311373,float,C,70.33286912382201,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760568903.311373,1760568903.311373,1760568903.311373,float,C,72.63229390273723,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_0,1760568903.311373,1760568903.311373,1760568903.311373,float,%,50.42553136122903,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_1,1760568903.311373,1760568903.311373,1760568903.311373,float,%,50.23553373854643,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_0,1760568903.3094084,1760568903.3094084,1760568903.3094084,float,km/h,20.65183505781492,source,32.7658275300479,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_1,1760568903.310394,1760568903.310394,1760568903.310394,float,km/h,18.16923553312936,source,23.952392767632254,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_2,1760568903.310394,1760568903.310394,1760568903.310394,float,km/h,22.395572378504447,source,22.655464173489243,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760568903.310394,1760568903.310394,1760568903.310394,float,C,71.50310438222765,source,73.81040645084002,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760568903.311373,1760568903.311373,1760568903.311373,float,C,70.33286912382201,source,71.87480582393587,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760568903.311373,1760568903.311373,1760568903.311373,float,C,72.63229390273723,source,72.20208069260255,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_0,1760568903.311373,1760568903.311373,1760568903.311373,float,%,50.42553136122903,source,50.38719865604294,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
